mapping_id,asset_id,asset_name,asset_type,criticality,internet_exposure,business_impact_score,environment,department_name,cve_id,cvss_score,cvss_version,severity,epss_score,epss_percentile,kev,vulnerability_age_days,severity_encoded,cvss_epss_interaction,kev_epss_interaction,remediation_hours,remediation_type,status,discovered_date
463,ASSET-003,Customer Database Server,Database,CRITICAL,0,10,Production,Core Engineering,CVE-2022-21643,10.0,3.1,CRITICAL,0.01197,0.65915,0,1698,4.0,0.1197,0.0,14.5,Patch,Open,2025-12-15 08:55:23.839899
9136,ASSET-001,Payment Processing Server,Server,CRITICAL,1,10,Production,Payments & Finance,CVE-2022-22536,10.0,3.1,CRITICAL,0.97945,0.99906,1,1662,4.0,9.7945,0.97945,40.0,Upgrade,Open,2025-12-28 08:55:24.363404
11024,ASSET-003,Customer Database Server,Database,CRITICAL,0,10,Production,Core Engineering,CVE-2022-0543,10.0,3.1,CRITICAL,0.99351,0.99937,1,1653,4.0,9.9351,0.99351,11.0,Patch,Open,2026-04-10 08:55:24.505910
13101,ASSET-001,Payment Processing Server,Server,CRITICAL,1,10,Production,Payments & Finance,CVE-2022-22947,10.0,3.1,CRITICAL,0.98253,0.99911,1,1640,4.0,9.8253,0.98253,16.5,Patch,Open,2025-10-13 08:55:24.647919
14983,ASSET-003,Customer Database Server,Database,CRITICAL,0,10,Production,Core Engineering,CVE-2022-24760,10.0,3.1,CRITICAL,0.49081,0.98795,0,1632,4.0,4.9081,0.0,40.0,Upgrade,Open,2026-05-09 08:55:24.804042
17001,ASSET-003,Customer Database Server,Database,CRITICAL,0,10,Production,Core Engineering,CVE-2021-27464,10.0,3.1,CRITICAL,0.03481,0.88271,0,1620,4.0,0.3481,0.0,14.5,Patch,Open,2026-02-15 08:55:24.961977
17007,ASSET-003,Customer Database Server,Database,CRITICAL,0,10,Production,Core Engineering,CVE-2021-27468,10.0,3.1,CRITICAL,0.03493,0.88311,0,1620,4.0,0.3493,0.0,12.0,Patch,Open,2025-10-16 08:55:24.963713
17014,ASSET-003,Customer Database Server,Database,CRITICAL,0,10,Production,Core Engineering,CVE-2021-27472,10.0,3.1,CRITICAL,0.05657,0.92425,0,1620,4.0,0.5657,0.0,40.0,Upgrade,Open,2026-05-29 08:55:24.964716
17482,ASSET-001,Payment Processing Server,Server,CRITICAL,1,10,Production,Payments & Finance,CVE-2022-24783,10.0,3.1,CRITICAL,0.01147,0.64535,0,1618,4.0,0.1147,0.0,15.5,Patch,Open,2026-04-16 08:55:25.007394
445,ASSET-005,Authentication & SSO Server,Server,HIGH,1,9,Production,Core Engineering,CVE-2021-43832,10.0,3.1,CRITICAL,0.0257,0.84041,0,1698,4.0,0.257,0.0,40.0,Upgrade,Open,2026-08-18 08:55:23.839899
462,ASSET-002,Financial Reporting Database,Database,VERY_HIGH,0,9,Production,Payments & Finance,CVE-2022-21643,10.0,3.1,CRITICAL,0.01197,0.65915,0,1698,4.0,0.1197,0.0,9.0,Patch,Open,2025-12-05 08:55:23.839899
3885,ASSET-002,Financial Reporting Database,Database,VERY_HIGH,0,9,Production,Payments & Finance,CVE-2022-21275,10.0,3.1,CRITICAL,0.01813,0.77105,0,1684,4.0,0.1813,0.0,10.0,Patch,Open,2025-11-12 08:55:24.057821
3887,ASSET-005,Authentication & SSO Server,Server,HIGH,1,9,Production,Core Engineering,CVE-2022-21275,10.0,3.1,CRITICAL,0.01813,0.77105,0,1684,4.0,0.1813,0.0,40.0,Upgrade,Open,2025-09-28 08:55:24.057821
