cve_id,asset_id,asset_name,asset_type,criticality,internet_exposure,business_impact_score,environment,cvss_score,epss_score,epss_percentile,kev,vulnerability_age_days,severity_encoded,cvss_epss_interaction,kev_epss_interaction,severity,remediation_hours,remediation_type,status
CVE-2003-5001,ASSET-001,Payment Processing Server,Server,CRITICAL,1,10,Production,5.3,0.01046,0.61774,0,1615,2.0,0.055438,0.0,MEDIUM,8.0,Patch,Open
CVE-2003-5001,ASSET-029,Cloud Storage Bucket (S3/GCS),Cloud,HIGH,1,8,Production,5.3,0.01046,0.61774,0,1615,2.0,0.055438,0.0,MEDIUM,4.0,Patch,Open
CVE-2003-5002,ASSET-006,Product Catalogue API Server,Server,HIGH,1,7,Production,3.7,0.00413,0.34365,0,1615,1.0,0.015281,0.0,LOW,2.0,Config Change,Open
CVE-2003-5003,ASSET-002,Financial Reporting Database,Database,VERY_HIGH,0,9,Production,5.0,0.00495,0.40476,0,1615,2.0,0.02475,0.0,MEDIUM,2.5,Config Change,Open
CVE-2003-5003,ASSET-003,Customer Database Server,Database,CRITICAL,0,10,Production,5.0,0.00495,0.40476,0,1615,2.0,0.02475,0.0,MEDIUM,4.0,Config Change,Open
CVE-2005-10001,ASSET-012,Network Attached Storage (NAS),Storage,MEDIUM,0,5,Production,5.4,0.00717,0.5128,0,1615,2.0,0.038718,0.0,MEDIUM,1.0,Workaround,Open
CVE-2007-20001,ASSET-020,CI/CD Build Server,Server,MEDIUM,0,4,Development,7.5,0.01059,0.62151,0,1665,3.0,0.079425,0.0,HIGH,4.0,Patch,Open
CVE-2007-20001,ASSET-022,Developer Workstation Pool,Laptop,LOW,0,3,Development,7.5,0.01059,0.62151,0,1665,3.0,0.079425,0.0,HIGH,2.5,Patch,Open
CVE-2007-20001,ASSET-025,HR & Payroll System,Server,HIGH,0,8,Production,7.5,0.01059,0.62151,0,1665,3.0,0.079425,0.0,HIGH,4.5,Patch,Open
CVE-2007-20001,ASSET-027,Employee Endpoint Fleet,Laptop,LOW,0,3,Corporate,7.5,0.01059,0.62151,0,1665,3.0,0.079425,0.0,HIGH,2.0,Config Change,Open
CVE-2007-20001,ASSET-028,ERP System (SAP),Server,HIGH,0,8,Production,7.5,0.01059,0.62151,0,1665,3.0,0.079425,0.0,HIGH,3.5,Config Change,Open
CVE-2008-10001,ASSET-012,Network Attached Storage (NAS),Storage,MEDIUM,0,5,Production,5.5,0.00615,0.47008,0,1615,2.0,0.033825,0.0,MEDIUM,1.5,Config Change,Open
CVE-2010-10001,ASSET-012,Network Attached Storage (NAS),Storage,MEDIUM,0,5,Production,5.3,0.00862,0.56038,0,1615,2.0,0.045686,0.0,MEDIUM,1.5,Config Change,Open
CVE-2013-20003,ASSET-010,VPN Gateway,Network,HIGH,1,7,Production,8.3,0.00572,0.44985,0,1667,3.0,0.047476,0.0,HIGH,3.5,Config Change,Open
CVE-2013-20003,ASSET-011,Internal DNS Server,Server,MEDIUM,0,5,Production,8.3,0.00572,0.44985,0,1667,3.0,0.047476,0.0,HIGH,3.5,Patch,Open
CVE-2013-20003,ASSET-016,SIEM & Log Management Server,Server,HIGH,0,7,Production,8.3,0.00572,0.44985,0,1667,3.0,0.047476,0.0,HIGH,4.5,Patch,Open
CVE-2013-20003,ASSET-017,Vulnerability Scanner Host,Server,MEDIUM,0,4,Production,8.3,0.00572,0.44985,0,1667,3.0,0.047476,0.0,HIGH,19.0,Upgrade,Open
CVE-2013-20003,ASSET-024,Developer Secrets Manager,Server,HIGH,0,8,Development,8.3,0.00572,0.44985,0,1667,3.0,0.047476,0.0,HIGH,3.0,Config Change,Open
CVE-2013-20004,ASSET-020,CI/CD Build Server,Server,MEDIUM,0,4,Development,9.8,0.01211,0.66308,0,1665,4.0,0.118678,0.0,CRITICAL,4.5,Patch,Open
CVE-2013-20004,ASSET-022,Developer Workstation Pool,Laptop,LOW,0,3,Development,9.8,0.01211,0.66308,0,1665,4.0,0.118678,0.0,CRITICAL,3.5,Patch,Open
CVE-2013-20004,ASSET-025,HR & Payroll System,Server,HIGH,0,8,Production,9.8,0.01211,0.66308,0,1665,4.0,0.118678,0.0,CRITICAL,7.5,Patch,Open
CVE-2013-20004,ASSET-027,Employee Endpoint Fleet,Laptop,LOW,0,3,Corporate,9.8,0.01211,0.66308,0,1665,4.0,0.118678,0.0,CRITICAL,3.5,Patch,Open
CVE-2013-20004,ASSET-028,ERP System (SAP),Server,HIGH,0,8,Production,9.8,0.01211,0.66308,0,1665,4.0,0.118678,0.0,CRITICAL,32.5,Upgrade,Open
CVE-2014-8597,ASSET-004,Public Web Server,Server,HIGH,1,8,Production,6.1,0.00811,0.54411,0,1654,2.0,0.0494709999999999,0.0,MEDIUM,3.0,Config Change,Open
