CVE_ID,CVSS_Score,CVSS_Version,Severity,Description,Published_Date,EPSS_Score,EPSS_Percentile,KEV,Vulnerability_Age_Days,Severity_Encoded,CVSS_EPSS_Interaction,KEV_EPSS_Interaction
CVE-2021-45929,5.5,3.1,MEDIUM,Wasm3 0.5.0 has an out-of-bounds write in CompileBlock (called from CompileElseBlock and Compile_If).,2022-01-01 00:15:08.057000+00:00,0.00664,0.49218,0,1702,2.0,0.03652,0.0
CVE-2021-45944,5.5,3.1,MEDIUM,Ghostscript GhostPDL 9.50 through 9.53.3 has a use-after-free in sampled_data_sample (called from sampled_data_continue and interp).,2022-01-01 00:15:08.183000+00:00,0.0136,0.69751,0,1702,2.0,0.07479999999999999,0.0
CVE-2021-45945,,,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. Further investigation showed that it was not a security issue. Notes: none,2022-01-01 00:15:08.230000+00:00,,,0,1702,,,
CVE-2021-45946,5.5,3.1,MEDIUM,Wasm3 0.5.0 has an out-of-bounds write in CompileBlock (called from Compile_LoopOrBlock and CompileBlockStatements).,2022-01-01 00:15:08.277000+00:00,0.00664,0.49218,0,1702,2.0,0.03652,0.0
CVE-2021-45947,5.5,3.1,MEDIUM,Wasm3 0.5.0 has an out-of-bounds write in Runtime_Release (called from EvaluateExpression and InitDataSegments).,2022-01-01 00:15:08.320000+00:00,0.00667,0.49332,0,1702,2.0,0.036684999999999995,0.0
CVE-2021-45948,5.5,3.1,MEDIUM,Open Asset Import Library (aka assimp) 5.1.0 and 5.1.1 has a heap-based buffer overflow in _m3d_safestr (called from m3d_load and Assimp::M3DWrapper::M3DWrapper).,2022-01-01 00:15:08.367000+00:00,0.00942,0.58518,0,1702,2.0,0.051809999999999995,0.0
CVE-2021-45949,5.5,3.1,MEDIUM,Ghostscript GhostPDL 9.50 through 9.54.0 has a heap-based buffer overflow in sampled_data_finish (called from sampled_data_continue and interp).,2022-01-01 00:15:08.413000+00:00,0.01401,0.70589,0,1702,2.0,0.077055,0.0
CVE-2021-45950,6.5,3.1,MEDIUM,LibreDWG 0.12.4.4313 through 0.12.4.4367 has an out-of-bounds write in dwg_free_BLOCK_private (called from dwg_free_BLOCK and dwg_free_object).,2022-01-01 00:15:08.460000+00:00,0.00887,0.56758,0,1702,2.0,0.057655,0.0
CVE-2021-45951,9.8,3.1,CRITICAL,"Dnsmasq 2.86 has a heap-based buffer overflow in check_bad_address (called from check_for_bogus_wildcard and FuzzCheckForBogusWildcard). NOTE: the vendor's position is that CVE-2021-45951 through CVE-2021-45957 ""do not represent real vulnerabilities, to the best of our knowledge.",2022-01-01 00:15:08.507000+00:00,0.0259,0.84166,0,1702,4.0,0.25382,0.0
CVE-2021-45952,9.8,3.1,CRITICAL,"Dnsmasq 2.86 has a heap-based buffer overflow in dhcp_reply (called from dhcp_packet and FuzzDhcp). NOTE: the vendor's position is that CVE-2021-45951 through CVE-2021-45957 ""do not represent real vulnerabilities, to the best of our knowledge.",2022-01-01 00:15:08.553000+00:00,0.0259,0.84167,0,1702,4.0,0.25382,0.0
