CVE_ID,EPSS_Score,EPSS_Percentile
CVE-2022-22293,0.00744,0.52204
CVE-2022-0080,0.0141,0.70752
CVE-2022-0079,0.00969,0.59419
CVE-2021-45972,0.0096,0.59057
CVE-2021-45960,0.04234,0.9031
CVE-2021-45958,0.0155,0.73305
CVE-2021-45957,0.02447,0.83197
CVE-2021-45956,0.0259,0.84167
CVE-2021-45955,0.02519,0.83703
CVE-2021-45954,0.0259,0.84167
CVE-2021-45953,0.0259,0.84166
CVE-2021-45952,0.0259,0.84167
CVE-2021-45951,0.0259,0.84166
CVE-2021-45950,0.00887,0.56758
CVE-2021-45949,0.01401,0.70589
CVE-2021-45948,0.00942,0.58518
CVE-2021-45947,0.00667,0.49332
CVE-2021-45946,0.00664,0.49218
CVE-2021-45944,0.0136,0.69751
CVE-2021-45943,0.01491,0.72273
CVE-2021-45942,0.01766,0.76471
CVE-2021-45941,0.01097,0.63258
CVE-2021-45940,0.01132,0.64153
CVE-2021-45939,0.00891,0.56912
CVE-2021-45938,0.00887,0.56775
CVE-2021-45937,0.00887,0.56775
CVE-2021-45936,0.00887,0.56776
CVE-2021-45935,0.00882,0.56625
CVE-2021-45934,0.00891,0.56911
CVE-2021-45933,0.00887,0.56775
CVE-2021-45932,0.00887,0.56775
CVE-2021-45931,0.0178,0.76669
CVE-2021-45930,0.01354,0.69621
CVE-2021-45929,0.00664,0.49218
CVE-2021-45928,0.00394,0.3249
CVE-2021-45927,0.00431,0.35968
CVE-2021-45926,0.00431,0.35968
CVE-2021-45917,0.00451,0.3753
CVE-2021-45916,0.00302,0.22419
CVE-2021-44896,0.00893,0.56954
CVE-2021-44852,0.00786,0.53578
CVE-2021-44717,0.01857,0.77692
CVE-2021-44716,0.03958,0.89691
CVE-2021-44158,0.00677,0.49755
CVE-2021-43333,0.00743,0.52193
CVE-2021-41819,0.02931,0.86101
CVE-2021-41817,0.03222,0.87336
CVE-2021-36751,0.00486,0.39872
CVE-2021-35093,0.00248,0.15936
CVE-2021-30351,0.04018,0.89836
CVE-2021-30348,0.00226,0.13163
CVE-2021-30337,0.00154,0.04916
CVE-2021-30336,0.00154,0.04916
CVE-2021-30335,0.00154,0.04915
CVE-2021-30303,0.00157,0.05161
CVE-2021-30298,0.00144,0.0402
CVE-2021-30293,0.00568,0.44775
CVE-2021-30289,0.00157,0.05161
CVE-2021-30283,0.00129,0.02904
CVE-2021-30282,0.00154,0.04915
CVE-2021-30279,0.00135,0.0326
CVE-2021-30278,0.00145,0.04063
CVE-2021-30276,0.00154,0.04915
CVE-2021-30275,0.00154,0.04916
CVE-2021-30274,0.00154,0.04917
CVE-2021-30273,0.00568,0.44775
CVE-2021-30272,0.00151,0.04585
CVE-2021-30271,0.00151,0.04585
CVE-2021-30270,0.00151,0.04585
CVE-2021-30269,0.00151,0.04585
CVE-2021-30268,0.00154,0.04908
CVE-2021-30267,0.00148,0.04308
CVE-2021-30262,0.00146,0.04145
CVE-2021-25994,0.01549,0.73298
CVE-2021-25981,0.02464,0.83316
CVE-2021-25040,0.008,0.54045
CVE-2021-25030,0.01562,0.73488
CVE-2021-25027,0.00876,0.5648
CVE-2021-25023,0.01112,0.63636
CVE-2021-25022,0.01122,0.63888
CVE-2021-25021,0.01021,0.60976
CVE-2021-25020,0.01021,0.60975
CVE-2021-25016,0.01798,0.76895
CVE-2021-25001,0.00757,0.52638
