CVE_ID,KEV,Vendor,Product,Date_Added
CVE-2026-82078,1,PaperCut,NG/MF,2026-08-31
CVE-2026-81578,1,PaperCut,NG/MF,2026-08-31
CVE-2023-49105,1,ownCloud,ownCloud,2026-08-27
CVE-2026-53362,1,Linux,Kernel,2026-08-27
CVE-2026-66384,1,JFrog,Artifactory,2026-08-27
CVE-2021-23758,1,Ajax.NET Professional,Ajax.NET Professional,2026-08-26
CVE-2015-3246,1,Red Hat,Libuser,2026-08-26
CVE-2015-5287,1,Red Hat,Automatic Bug Reporting Tool,2026-08-26
CVE-2022-0995,1,Linux,Kernel,2026-08-26
CVE-2026-8452,1,Citrix,NetScaler ADC and NetScaler Gateway,2026-08-26
CVE-2019-1068,1,Microsoft,SQL Server,2026-08-26
CVE-2026-60004,1,Gitea,Gitea,2026-08-25
CVE-2026-21962,1,Oracle,HTTP Server and Oracle Weblogic Server Proxy Plug-in,2026-08-24
CVE-2026-73570,1,Synacor,Zimbra Collaboration Suite (ZCS),2026-08-21
CVE-2026-72530,1,TrueConf,Server,2026-08-20
CVE-2026-72529,1,TrueConf,Server,2026-08-20
CVE-2026-64849,1,MLflow,MLflow,2026-08-19
CVE-2026-33824,1,Microsoft,Internet Key Exchange (IKE) Service Extensions,2026-08-18
CVE-2026-59310,1,Broadcom,VMware vCenter,2026-08-18
CVE-2026-55040,1,Microsoft,SharePoint,2026-08-18
CVE-2026-65400,1,Apple,macOS,2026-08-18
CVE-2025-62593,1,Ray-Project,Ray,2026-08-17
CVE-2026-20349,1,Cisco,Secure Firewall Adaptive Security Appliance (ASA) and Secure Firewall Threat Defense (FTD) ,2026-08-11
CVE-2026-68820,1,Microsoft,Windows Ancillary Function Driver for WinSock ,2026-08-11
CVE-2026-72898,1,Metabase,Metabase,2026-08-11
CVE-2026-8037,1,Progress,LoadMaster,2026-08-07
CVE-2026-63077,1,JetBrains,TeamCity,2026-08-05
CVE-2026-18556,1,N-able,N-central,2026-08-04
CVE-2026-34486,1,Apache,Tomcat,2026-08-04
CVE-2026-9198,1,IBM,Langflow,2026-08-04
CVE-2026-18577,1,N-able,N-central,2026-08-03
CVE-2026-20316,1,Cisco,Secure Firewall Management Center (FMC),2026-07-29
CVE-2025-68686,1,Fortinet,FortiOS,2026-07-27
CVE-2026-16812,1,Arista,VeloCloud Orchestrator,2026-07-27
CVE-2026-16232,1,Check Point,SmartConsole,2026-07-22
CVE-2026-50522,1,Microsoft,SharePoint,2026-07-22
CVE-2026-60137,1,WordPress,Core,2026-07-21
CVE-2026-63030,1,WordPress,Core,2026-07-21
CVE-2026-0770,1,Langflow,Langflow,2026-07-21
CVE-2021-27137,1,DD-WRT,DD-WRT,2026-07-21
CVE-2026-58644,1,Microsoft,SharePoint,2026-07-16
CVE-2026-25089,1,Fortinet,FortiSandbox,2026-07-16
CVE-2026-39808,1,Fortinet,FortiSandbox,2026-07-16
CVE-2026-46817,1,Oracle,E-Business Suite,2026-07-15
CVE-2023-4346,1,KNX Association,KNX Protocol Connection Authorization Option 1,2026-07-15
